#,Champion,Games,Wins,Losses,Winrate,Kill,Death,Assist,KDA,Gold,CS,Double Kill,Triple Kill,Quadra Kill,Penta Kill,Max Kills,Max Deaths,Average Damage Dealt,Average Damage Taken
117,Quinn,2,1,1,50.0,8.0,8.5,9.5,2.06,13654.0,179.5,1,0,0,0,13,9,170463.0,25595.0
118,Shen,2,1,1,50.0,2.0,10.0,15.5,1.75,10703.0,98.5,0,0,0,0,3,13,76838.0,39205.0
119,Nocturne,2,0,2,0.0,6.5,11.5,10.5,1.48,13061.5,52.0,0,0,0,0,7,14,156744.0,44993.0
120,Sion,2,0,2,0.0,5.5,7.0,9.0,2.07,13006.0,156.5,1,0,0,0,8,9,147798.0,45434.0
121,Yorick,2,0,2,0.0,4.0,6.5,7.0,1.69,14013.5,247.0,2,0,0,0,8,9,160985.0,37851.5
122,Azir,1,1,0,100.0,13.0,6.0,12.0,4.17,16140.0,214.0,3,0,0,0,13,6,185102.0,20641.0
123,Miss Fortune,1,1,0,100.0,14.0,3.0,6.0,6.67,12768.0,152.0,2,0,0,0,14,3,115503.0,14658.0
124,Xayah,1,1,0,100.0,7.0,6.0,5.0,2.0,10908.0,147.0,0,0,0,0,7,6,118542.0,14044.0
125,Zyra,1,1,0,100.0,4.0,3.0,19.0,7.67,15314.0,41.0,1,0,0,0,4,3,72807.0,13340.0
126,Ashe,1,0,1,0.0,6.0,9.0,10.0,1.78,12083.0,187.0,0,0,0,0,6,9,130763.0,23409.0
127,Jayce,1,0,1,0.0,4.0,5.0,2.0,1.2,8863.0,137.0,0,0,0,0,4,5,89399.0,15523.0
128,Poppy,1,0,1,0.0,7.0,8.0,9.0,2.0,10238.0,139.0,0,0,0,0,7,8,128135.0,28839.0
129,Shaco,1,0,1,0.0,1.0,5.0,1.0,0.4,5876.0,24.0,0,0,0,0,1,5,63655.0,16455.0
130,Zoe,1,0,1,0.0,6.0,5.0,7.0,2.6,10572.0,153.0,1,0,0,0,6,5,114547.0,15143.0
