#,Champion,Games,Wins,Losses,Winrate,Kill,Death,Assist,KDA,Gold,CS,Double Kill,Triple Kill,Quadra Kill,Penta Kill,Max Kills,Max Deaths,Average Damage Dealt,Average Damage Taken
115,Wukong,18,7,11,38.89,4.07,4.48,4.73,1.96,10118.5,159.62,3,0,0,0,10,9,129120.75,26638.5
116,Lillia,18,5,13,27.78,5.03,4.37,7.03,2.76,11312.5,193.9,3,1,0,0,13,8,157875.0,26468.5
117,Sona,17,10,7,58.82,2.91,4.86,10.46,2.75,8627.4,57.36,2,0,0,0,9,10,38174.6,13781.6
118,Singed,16,11,5,68.75,4.94,5.7,9.01,2.45,10533.14,196.6,1,1,0,0,16,12,139417.86,27439.14
119,Nasus,16,10,6,62.5,4.57,3.5,6.47,3.15,10305.25,174.28,3,0,0,0,8,8,109887.5,28675.25
120,Seraphine,16,5,11,31.25,2.89,3.68,8.69,3.15,9743.67,183.93,2,1,0,0,8,11,114184.0,13406.0
121,Volibear,16,5,11,31.25,5.52,4.18,7.94,3.22,9732.0,128.57,3,0,0,0,9,7,102633.25,25186.75
122,Vi,16,4,12,25.0,5.01,4.89,4.31,1.91,9235.33,127.47,7,0,0,0,10,10,115770.33,21502.83
123,Ornn,15,10,5,66.67,3.03,3.8,8.2,2.95,9573.0,178.98,0,0,0,0,5,7,95603.8,21923.4
124,Miss Fortune,15,9,6,60.0,4.22,4.35,9.94,3.25,12375.83,203.05,2,1,0,0,13,8,140590.5,15537.5
125,Shen,14,7,7,50.0,3.18,3.94,9.14,3.13,10146.25,141.12,0,0,0,0,7,7,77141.0,23371.75
126,Trundle,14,6,8,42.86,4.23,5.07,9.37,2.68,10049.8,131.68,3,0,0,0,14,8,85923.6,30159.2
127,Sejuani,13,7,6,53.85,4.84,3.47,8.71,3.9,10188.0,133.2,3,0,0,0,11,9,118840.67,26950.67
128,Skarner,13,6,7,46.15,3.4,3.32,6.55,3.0,8890.2,87.5,1,0,0,0,6,7,105637.2,22800.4
129,Ashe,13,5,8,38.46,3.77,5.38,7.88,2.16,10529.0,191.54,5,0,0,0,12,10,112914.0,15639.43
130,Shaco,12,8,4,66.67,4.77,4.09,6.09,2.65,8674.6,67.14,0,0,0,0,10,8,94256.2,16876.4
131,Sivir,12,5,7,41.67,4.75,5.0,9.67,2.88,13445.0,255.5,3,1,0,0,12,12,194587.33,18621.0
132,Fiddlesticks,11,8,3,72.73,3.55,3.1,8.72,3.96,8981.6,74.36,1,0,0,0,8,8,90649.2,21977.8
133,Dr. Mundo,11,4,7,36.36,3.54,5.38,8.63,2.26,9723.17,137.03,1,0,0,0,8,10,124822.0,33671.83
